device,version,seed,distribution,batch_size,learning_rate,alpha,beta,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,epochs,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-colab,235,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0,0.001,,0,valAccuracy,0.6470588445663452,0.5887912511825562,0.9867013096809387,0.9527272582054138,0.6809602379798889,0.5989011526107788,0.6029411554336548,0.59893399477005,0.9597377181053162,0.9142394661903381
redwan-colab,236,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,18,valAccuracy,0.8235294222831726,0.2791927456855774,0.999943196773529,0.9981818199157715,0.5751663446426392,0.8681318759918213,0.779411792755127,0.3117598593235016,0.9943324327468872,0.9741100072860718
redwan-colab,237,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,256,max,[32],0.001,0,,26,valAccuracy,0.8382353186607361,0.2063884288072586,1.0,1.0,0.5383327007293701,0.8699634075164795,0.779411792755127,0.242913156747818,0.99652099609375,0.9757281541824341
redwan-colab,238,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,512,max,[32],0.001,0,,26,valAccuracy,0.8529411554336548,0.18204718828201294,1.0,1.0,0.49785560369491577,0.9075091481208801,0.8529411554336548,0.21680161356925964,0.9979631304740906,0.983818769454956
redwan-colab,239,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,26,valAccuracy,0.779411792755127,0.1618657410144806,1.0,1.0,0.6462742686271667,0.778388261795044,0.779411792755127,0.21521763503551483,0.9961794018745422,0.9741100072860718
redwan-colab,240,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,256,max,[32],0.001,0,,16,valAccuracy,0.779411792755127,0.21698369085788727,1.0,1.0,0.5697975754737854,0.8534798622131348,0.7647058963775635,0.25580742955207825,0.9976468682289124,0.9741100072860718
redwan-colab,241,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,512,max,[32],0.001,0,,2,valAccuracy,0.6911764740943909,0.6152200102806091,0.9995879530906677,0.7509090900421143,0.6874821186065674,0.8012820482254028,0.6764705777168274,0.623174786567688,0.9911948442459106,0.7427184581756592
redwan-colab,242,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,128,max,[32],0.001,0,,18,valAccuracy,0.779411792755127,0.18966588377952576,1.0,1.0,0.6197548508644104,0.8333333134651184,0.7352941036224365,0.23698961734771729,0.9975710511207581,0.9708737730979919
redwan-colab,244,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,256,max,[32],0.001,0,,15,valAccuracy,0.7941176295280457,0.2047155350446701,1.0,1.0,0.5784086585044861,0.8901098966598511,0.779411792755127,0.24587765336036682,0.9984439015388489,0.9757281541824341
redwan-colab,246,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,512,max,[32],0.001,0,,26,valAccuracy,0.7941176295280457,0.14945168793201447,1.0,1.0,0.5407604575157166,0.8818681240081787,0.7941176295280457,0.19252200424671173,0.9983680248260498,0.9773463010787964
