device,version,seed,distribution,batch_size,alpha,beta,learning_rate,epochs,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy
redwan-colab,284,62,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,32,max,[32],0.001,0,,valAccuracy,-inf,0.13028894364833832,0.9999826550483704,0.9994441270828247,0.5001879930496216,0.9231568574905396,0.8392857313156128
redwan-colab,285,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,256,max,[32],0.001,0,,valAccuracy,-inf,0.09665967524051666,1.0,1.0,0.32271790504455566,0.9673296213150024,0.8973214030265808
redwan-colab,286,69,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,32,max,[32],0.002,0,,valAccuracy,0.8705357313156128,0.19319841265678406,0.9980283975601196,0.9838799238204956,0.3852311074733734,0.9489575624465942,0.8526785969734192
redwan-colab,287,47,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,32,max,[32],0.01,0,,valAccuracy,0.5223214030265808,0.6988294720649719,0.6408893465995789,0.5036131143569946,0.698640763759613,0.6047208309173584,0.5223214030265808
redwan-colab,288,25,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,32,max,[32],0,0,0.5,valAccuracy,0.8660714030265808,0.030188899487257004,0.9994034171104431,0.9977765679359436,0.4767463803291321,0.9297068119049072,0.8125
redwan-colab,289,28,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,32,max,[32],0,0,0.9,valAccuracy,0.8571428656578064,0.35263100266456604,0.9734944701194763,0.9121734499931335,0.42879870533943176,0.9148494005203247,0.8482142686843872
redwan-colab,290,73,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-80,custom,12,32,max,[32],0,0,0.9,valAccuracy,0.875,0.2393999993801117,0.9869064092636108,0.9466370344161987,0.37490183115005493,0.9273903369903564,0.84375
redwan-colab,291,27,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-80,custom,12,64,max,[32],0,0,0.9,valAccuracy,0.875,0.11782044917345047,0.9998175501823425,0.9955530762672424,0.3255805969238281,0.939212441444397,0.8616071343421936
redwan-colab,292,16,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-80,custom,12,32,max,[32],0,0,0.8,valAccuracy,0.8794642686843872,0.02870081178843975,0.9993225336074829,0.9983323812484741,0.4988684058189392,0.9332214593887329,0.8616071343421936
redwan-colab,293,4,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-80,custom,12,256,max,[32],0,0,0.9,valAccuracy,0.8883928656578064,0.47199010848999023,0.9983224868774414,0.9872151017189026,0.5238076448440552,0.948318600654602,0.8794642686843872
