device,version,seed,distribution,batch_size,learning_rate,alpha,beta,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,epochs,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy
tushar-colab,158,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,128,max,[16],0.001,0,,18,valAccuracy,0.8181818127632141,0.19742296636104584,0.9952038526535034,0.9735224843025208,0.536139190196991,0.8905855417251587,0.810606062412262
tushar-colab,159,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,33,valAccuracy,0.810606062412262,0.1652984917163849,0.9999852180480957,0.9768321514129639,0.7308856248855591,0.8755453824996948,0.7727272510528564
tushar-colab,160,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,256,max,[16],0.001,0,,28,valAccuracy,0.8219696879386902,0.14952144026756287,0.9999704360961914,0.9962174892425537,0.6089479923248291,0.8877726793289185,0.8068181872367859
tushar-colab,161,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,256,max,[32],0.001,0,,28,valAccuracy,0.8068181872367859,0.16224081814289093,0.9994015693664551,0.9938534498214722,0.5917379856109619,0.8974741697311401,0.8030303120613098
tushar-colab,162,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,512,max,[16],0.001,0,,27,valAccuracy,0.8257575631141663,0.17452563345432281,0.9994456768035889,0.9905437231063843,0.5877598524093628,0.8946038484573364,0.8068181872367859
tushar-colab,163,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,512,max,[32],0.001,0,,14,valAccuracy,0.7878788113594055,0.36788296699523926,0.9707884192466736,0.8661938309669495,0.5534932017326355,0.88553386926651,0.7765151262283325
tushar-colab,164,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[16],0.001,0,,15,valAccuracy,0.8068181872367859,0.3848513960838318,0.9974430203437805,0.8382978439331055,0.8509312272071838,0.8735935688018799,0.7234848737716675
tushar-colab,165,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,23,valAccuracy,0.8068181872367859,0.14284071326255798,0.9996491074562073,0.9971631169319153,0.5987111926078796,0.8892077803611755,0.8068181872367859
tushar-colab,166,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,256,max,[16],0.001,0,,17,valAccuracy,0.8068181872367859,0.16874991357326508,0.9990935921669006,0.9910165667533875,0.5376380681991577,0.9012628793716431,0.7992424368858337
tushar-colab,167,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,256,max,[32],0.001,0,,27,valAccuracy,0.8219696879386902,0.24080534279346466,0.9991567730903625,0.936170220375061,0.7662938833236694,0.8954075574874878,0.7537878751754761
tushar-colab,168,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,512,max,[16],0.001,0,,29,valAccuracy,0.8257575631141663,0.1481848657131195,1.0,0.9962174892425537,0.659844160079956,0.9007462859153748,0.7613636255264282
tushar-colab,169,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,512,max,[32],0.001,0,,33,valAccuracy,0.8333333134651184,0.13571426272392273,1.0,0.9990543723106384,0.6653672456741333,0.8901262283325195,0.7840909361839294
tushar-colab,170,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,128,max,[16],0.001,0,,4,valAccuracy,0.7689393758773804,0.2805194556713104,0.9860565066337585,0.9234042763710022,0.5537711977958679,0.8655568361282349,0.7613636255264282
tushar-colab,171,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,128,max,[32],0.001,0,,10,valAccuracy,0.7840909361839294,0.2637549340724945,0.990536093711853,0.92955082654953,0.5872647166252136,0.8680253028869629,0.7765151262283325
tushar-colab,172,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,256,max,[16],0.001,0,,20,valAccuracy,0.7878788113594055,0.11924073845148087,1.0,1.0,0.6993125677108765,0.8724454641342163,0.7651515007019043
tushar-colab,173,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,256,max,[32],0.001,0,,17,valAccuracy,0.8068181872367859,0.1423591822385788,0.9999815225601196,0.99858158826828,0.5753592848777771,0.8929965496063232,0.7916666865348816
tushar-colab,174,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,512,max,[16],0.001,0,,27,valAccuracy,0.8030303120613098,0.147759810090065,1.0,0.9990543723106384,0.690650999546051,0.881458044052124,0.7840909361839294
tushar-colab,175,39,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,512,max,[32],0.001,0,,-50,valAccuracy,0.7878788113594055,0.34158003330230713,0.9774534106254578,0.9111111164093018,0.540103018283844,0.8780711889266968,0.7803030014038086
tushar-colab,176,12,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,15,custom,12,256,max,[32],0,0,,valAccuracy,0.8030303120613098,0.01015661284327507,1.0,1.0,0.6838817000389099,0.8793340921401978,0.7651515007019043
tushar-colab,178,61,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,14,custom,12,256,max,[32],0,0,,valAccuracy,0.7992424368858337,0.10473735630512238,0.9995008707046509,0.9877068400382996,0.4492826759815216,0.8865097761154175,0.7840909361839294
tushar-colab,179,75,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,14,custom,12,512,max,"[32, 16]",0,0,,valAccuracy,0.810606062412262,0.006741393357515335,1.0,1.0,0.6070594787597656,0.8972876071929932,0.8068181872367859
tushar-colab,180,88,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,0,custom,12,512,max,"[32, 16]",0,0,0.5,valAccuracy,0.5075757503509521,0.6930398344993591,0.5,0.5073286294937134,0.6930328607559204,0.5,0.5075757503509521
tushar-colab,181,32,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,0,custom,12,512,max,"[32, 16]",0.001,0,,valAccuracy,0.5075757503509521,0.7028072476387024,0.453447550535202,0.5073286294937134,0.7028008699417114,0.44335535168647766,0.5075757503509521
tushar-colab,182,43,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-30,custom,12,512,max,"[32, 16]",0.001,0,,valAccuracy,0.8030303120613098,0.19691497087478638,0.9938825368881226,0.9711583852767944,0.5342727303504944,0.888346791267395,0.8068181872367859
tushar-colab,183,5,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,0,custom,12,512,max,"[64, 16]",0.001,0,,valAccuracy,0.5075757503509521,0.7107863426208496,0.5336963534355164,0.5073286294937134,0.7107788920402527,0.5386481285095215,0.5075757503509521
tushar-colab,185,21,"[0.3, 0.2, 0.2, 0.3]",64,1000,0.001,0.001,0,custom,12,512,max,[32],0.1,0,,valAccuracy,0.5075757503509521,1.5069587230682373,0.3532129228115082,0.5073286294937134,1.5069580078125,0.3697760999202728,0.5075757503509521
tushar-colab,190,38,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,0,custom,12,256,max,[32],0.003,0,,valAccuracy,0.5075757503509521,0.7073599100112915,0.7797459363937378,0.492671400308609,0.7073613405227661,0.7267508506774902,0.49242424964904785
tushar-colab,193,20,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,12,custom,12,256,max,[32],0.0025,0,,valAccuracy,0.7878788113594055,0.321802020072937,0.980806827545166,0.9290780425071716,0.5518868565559387,0.8778989315032959,0.7878788113594055
tushar-colab,194,19,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,1,custom,12,512,max,[32],0.0025,0,,valAccuracy,0.5075757503509521,0.7142361402511597,0.5749704837799072,0.5073286294937134,0.7142272591590881,0.5725890398025513,0.5075757503509521
tushar-colab,195,57,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-30,custom,12,512,max,[32],0.002,0,,valAccuracy,0.8068181872367859,0.2947290539741516,0.9940274953842163,0.9300236701965332,0.6346653699874878,0.8739380240440369,0.7727272510528564
tushar-colab,196,69,"[0.3, 0.2, 0.2, 0.3]",64,1000,0.001,0.001,-30,custom,12,512,max,[32],0.002,0,,valAccuracy,0.8030303120613098,0.31603527069091797,0.9926589131355286,0.9304964542388916,0.6061968207359314,0.8882893323898315,0.7651515007019043
tushar-colab,198,1,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,33,custom,12,512,max,[32],0.0021,0,,valAccuracy,0.810606062412262,0.1970970630645752,1.0,0.985342800617218,1.0061876773834229,0.8738806247711182,0.7310606241226196
tushar-colab,199,48,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-80,custom,12,128,max,[32],0.0021,0,,valAccuracy,0.8181818127632141,0.1006077453494072,1.0,1.0,0.7306540012359619,0.8828932046890259,0.7916666865348816
