data_dir,sequence_file,label_file,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[16],0.001,0,64,20,0.001,0.3425087630748749,0.9748225212097168,0.9214858412742615,0.4753328263759613,0.8893939256668091,0.7884615659713745,0.3453602194786072,0.9733954071998596,0.9186286926269531
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.3388579785823822,0.9732800722122192,0.9109328985214233,0.44550541043281555,0.9257575273513794,0.8461538553237915,0.3411414325237274,0.9722537994384766,0.9095414876937866
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,256,100,0.01,"[0.3, 0.2, 0.2, 0.3]",[16],0.001,0,64,20,0.001,0.6942227482795715,0.8095542788505554,0.707471489906311,0.6949684619903564,0.8530303239822388,0.6346153616905212,0.6942362785339355,0.8107067346572876,0.7063196897506714
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,256,100,0.01,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.6956115961074829,0.7241948246955872,0.4968340992927551,0.6949423551559448,0.7939393520355225,0.5769230723381042,0.6955971121788025,0.7252998352050781,0.4985543191432953
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,512,1,1.0,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.6844708919525146,0.7248144745826721,0.5470662713050842,0.6886116862297058,0.5939394235610962,0.557692289352417,0.6845598220825195,0.7218016982078552,0.5472944974899292
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,512,100,0.01,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.6957404613494873,0.7102599143981934,0.5031659007072449,0.6991392374038696,0.521212100982666,0.42307692766189575,0.6958129405975342,0.7071264386177063,0.5014457106590271
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.31777289509773254,0.9799668788909912,0.9278176426887512,0.4621240496635437,0.9015151262283325,0.8653846383094788,0.3208429217338562,0.9785863161087036,0.9264766573905945
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[16],0.001,0,64,20,0.001,0.3441290557384491,0.9689241647720337,0.8978471755981445,0.43847376108169556,0.9257575869560242,0.8461538553237915,0.346129834651947,0.9683372378349304,0.8967368602752686
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.20146061480045319,0.9914225935935974,0.9569438695907593,0.46034306287765503,0.8666666746139526,0.8461538553237915,0.2069941610097885,0.9891263246536255,0.9545642137527466
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.0005,0.5092937350273132,0.9303845763206482,0.8535246849060059,0.5726177096366882,0.8848484754562378,0.807692289352417,0.5106531381607056,0.929690957069397,0.8525402545928955
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[],0.001,0,64,20,0.0005,0.5484683513641357,0.915233314037323,0.8248205780982971,0.5981743335723877,0.8575757741928101,0.75,0.5495315790176392,0.9139811992645264,0.8232135772705078
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[],0.001,0,64,20,0.001,0.4052696228027344,0.9565118551254272,0.8822287917137146,0.4890144169330597,0.8954545259475708,0.7884615659713745,0.40704748034477234,0.9553229808807373,0.8802148103713989
